RA,DEC,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window
53.20728,-27.51534,101.6948,406.0,677.2,5.72,0.007202,19,5,0.423,0.971,53,aless112,spw2123
53.19676,-27.51834,102.3511,711.4,579.1,5.56,0.003384,5,7,0.281,0.842,54,aless112,spw2123
53.21301,-27.52713,103.7888,239.7,291.3,5.56,0.002643,3,6,0.281,0.606,55,aless112,spw2123
53.19547,-27.51491,103.2419,749.0,691.4,5.37,0.005885,13,8,0.15,0.696,56,aless112,spw2123
53.20386,-27.52577,102.2886,505.4,335.9,5.32,0.006565,19,10,0.123,0.855,57,aless112,spw2123
53.21056,-27.5155,101.9136,310.7,672.0,5.29,0.003715,7,11,0.109,0.705,58,aless112,spw2123
53.21555,-27.52495,104.3045,166.1,362.8,5.27,0.007148,19,13,0.101,0.83,59,aless112,spw2123
53.19054,-27.51956,101.0385,892.0,539.2,5.25,0.004239,7,14,0.092,0.662,60,aless112,spw2123
53.20526,-27.51203,104.5076,464.8,785.6,5.25,0.003259,5,15,0.092,0.671,61,aless112,spw2123
53.19756,-27.52716,104.242,688.1,290.5,5.25,0.003371,5,16,0.092,0.671,62,aless112,spw2123
53.20131,-27.51807,103.1325,579.3,588.1,5.24,0.003383,5,17,0.088,0.665,63,aless112,spw2123
53.19646,-27.52921,104.6483,720.1,223.5,5.24,0.003334,5,18,0.088,0.665,64,aless112,spw2123
53.19576,-27.52674,104.0857,740.5,304.3,5.18,0.005312,11,19,0.067,0.601,65,aless112,spw2123
53.1979,-27.51669,101.9917,678.4,633.0,5.14,0.006219,19,20,0.056,0.752,66,aless112,spw2123
53.19163,-27.52413,101.8042,860.4,389.7,5.12,0.005568,15,23,0.051,0.703,67,aless112,spw2123
53.20366,-27.52379,101.3979,511.2,400.7,5.1,0.005862,15,24,0.046,0.691,68,aless112,spw2123
53.21035,-27.51857,102.2417,317.1,571.7,5.01,0.006192,19,35,0.028,0.658,69,aless112,spw2123
53.0306,-27.85576,90.8227,507.3,513.1,8.19,0.0049,5,0,1.0,1.0,70,aless17,spw1719
53.01681,-27.85523,90.9633,906.5,530.3,5.29,0.005488,15,2,0.0,0.999,71,aless17,spw1719
53.02205,-27.86041,92.2916,754.8,360.8,5.23,0.005586,15,4,0.0,0.997,72,aless17,spw1719
53.0378,-27.86383,91.5415,299.3,248.9,5.09,0.00324,7,8,0.0,0.633,73,aless17,spw1719
53.04239,-27.85592,90.307,166.2,507.9,5.08,0.003712,7,9,0.0,0.628,74,aless17,spw1719
53.03291,-27.86185,91.4009,440.5,313.8,5.07,0.0042,11,10,0.0,0.693,75,aless17,spw1719
53.02972,-27.85993,91.1352,532.8,376.7,5.04,0.004214,11,13,0.0,0.664,76,aless17,spw1719
53.02777,-27.86192,89.885,589.3,311.7,5.04,0.002045,7,12,0.0,0.608,77,aless17,spw1719
53.02698,-27.86448,92.0259,612.1,227.9,5.03,0.004336,11,14,0.0,0.654,78,aless17,spw1719
53.04187,-27.85256,91.0727,181.3,617.8,4.98,0.004957,15,18,0.0,0.948,79,aless17,spw1719
53.01652,-27.85714,91.854,914.9,467.8,4.91,0.004993,15,26,0.0,0.905,80,aless17,spw1719
53.02832,-27.85642,92.526,573.5,491.5,4.8,0.005284,15,40,0.0,0.793,81,aless17,spw1719
53.03333,-27.85175,91.7603,428.5,644.2,4.8,0.005015,15,43,0.0,0.793,82,aless17,spw1719
53.02814,-27.85256,101.1791,578.8,617.7,5.71,0.004846,9,0,0.213,0.822,83,aless17,spw2123
53.03501,-27.84492,101.476,379.7,867.8,5.66,0.006826,17,1,0.172,0.841,84,aless17,spw2123
53.02218,-27.86257,102.7105,751.1,290.2,5.51,0.002586,3,2,0.081,0.71,85,aless17,spw2123
53.03237,-27.86179,103.9294,456.2,315.9,5.4,0.004329,7,3,0.042,0.645,86,aless17,spw2123
53.03144,-27.85481,102.1948,483.3,544.1,5.38,0.006224,17,4,0.036,0.665,87,aless17,spw2123
