,Unnamed: 0,RA,DEC,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window
87196,87196,52.85036,-27.85601,99.1601,207.9,24.8,4.7,0.002299,15,73,0.001,0.693,74,aless49,allspw
87203,87203,52.86214,-27.84865,97.2382,58.0,130.8,4.69,0.002163,15,78,0.0,0.688,81,aless49,allspw
87208,87208,52.85407,-27.8437,85.316,160.7,202.1,4.66,0.002355,15,85,0.0,0.672,86,aless49,allspw
87235,87235,52.86183,-27.84971,86.7067,62.0,115.5,4.59,0.001856,15,112,0.0,0.634,113,aless49,allspw
87260,87260,52.85182,-27.83459,99.5351,189.4,333.3,4.55,0.002415,15,137,0.0,0.612,138,aless49,allspw
87262,87262,52.85627,-27.84818,98.6913,132.8,137.6,4.55,0.002244,15,139,0.0,0.612,140,aless49,allspw
96871,96871,52.95161,-27.73782,84.2344,111.6,614.4,5.67,0.004415,13,0,0.237,0.871,1,aless51,spw1719
96872,96872,52.92687,-27.74565,85.7502,828.1,358.2,5.58,0.003316,7,1,0.167,0.986,2,aless51,spw1719
96873,96873,52.93208,-27.74086,84.2969,677.5,515.2,5.58,0.002068,3,2,0.167,0.623,3,aless51,spw1719
96874,96874,52.9472,-27.73953,85.5627,239.2,558.4,5.56,0.00205,3,3,0.154,0.604,4,aless51,spw1719
96875,96875,52.9365,-27.74172,87.3754,549.3,486.8,5.41,0.003629,9,4,0.076,0.682,5,aless51,spw1719
96876,96876,52.94849,-27.74211,84.5157,202.2,474.0,5.4,0.003226,7,5,0.072,0.925,6,aless51,spw1719
96877,96877,52.92859,-27.75189,87.4066,778.6,154.1,5.3,0.004693,15,6,0.041,0.712,7,aless51,spw1719
96878,96878,52.94182,-27.7467,84.5469,395.4,323.8,5.27,0.004755,15,7,0.034,0.679,8,aless51,spw1719
96882,96882,52.93277,-27.72903,84.7344,657.5,902.3,5.23,0.00322,7,11,0.027,0.769,12,aless51,spw1719
96884,96884,52.93893,-27.7543,86.5315,478.8,75.1,5.17,0.004972,19,13,0.018,0.747,14,aless51,spw1719
96894,96894,52.94496,-27.73301,87.266,304.4,771.9,5.08,0.00488,19,25,0.009,0.704,24,aless51,spw1719
96900,96900,52.93783,-27.74109,86.4847,510.9,507.6,5.01,0.004875,19,29,0.006,0.667,30,aless51,spw1719
96923,96923,52.94196,-27.73521,87.4848,391.1,699.9,4.89,0.004949,19,53,0.002,0.602,53,aless51,spw1719
96926,96926,52.93549,-27.72965,85.8596,578.5,881.8,4.89,0.004719,19,51,0.002,0.602,56,aless51,spw1719
109415,109415,52.937,-27.7403,97.6415,535.0,533.4,6.15,0.002949,5,0,0.808,0.997,1,aless51,spw2123
109416,109416,52.93681,-27.73884,97.6415,540.3,581.2,6.09,0.003509,7,1,0.77,1.0,2,aless51,spw2123
109417,109417,52.94024,-27.73993,97.6258,440.9,545.6,5.94,0.002821,5,2,0.658,0.967,3,aless51,spw2123
109418,109418,52.93469,-27.74471,98.626,601.7,388.9,5.89,0.004489,11,3,0.617,0.983,4,aless51,spw2123
109419,109419,52.93893,-27.74125,97.6258,478.8,502.3,5.89,0.003364,7,4,0.617,0.979,5,aless51,spw2123
109420,109420,52.92868,-27.74426,96.9695,775.8,403.7,5.88,0.004281,11,5,0.609,0.981,6,aless51,spw2123
109421,109421,52.93659,-27.74174,96.9695,546.8,486.3,5.78,0.004605,13,7,0.522,0.804,7,aless51,spw2123
109422,109422,52.93751,-27.74095,97.6415,520.0,512.1,5.78,0.003821,9,6,0.522,0.903,8,aless51,spw2123
109423,109423,52.9352,-27.73933,99.5011,586.9,565.2,5.72,0.003561,7,8,0.469,0.698,9,aless51,spw2123
109424,109424,52.93634,-27.74035,96.9539,553.9,531.6,5.65,0.004141,11,9,0.408,0.9,10,aless51,spw2123
109425,109425,52.93804,-27.7412,96.9851,504.8,503.8,5.61,0.004053,11,10,0.374,0.874,11,aless51,spw2123
109426,109426,52.93745,-27.7408,96.9695,521.8,516.9,5.56,0.003628,9,11,0.333,0.775,12,aless51,spw2123
109427,109427,52.93572,-27.73961,97.6258,571.8,556.0,5.56,0.003647,9,12,0.333,0.775,13,aless51,spw2123
109430,109430,52.9356,-27.74531,98.6416,575.3,369.3,5.49,0.003766,9,15,0.279,0.72,16,aless51,spw2123
109431,109431,52.93798,-27.74342,97.6571,506.4,431.2,5.44,0.003639,9,16,0.243,0.678,17,aless51,spw2123
109433,109433,52.92887,-27.74313,96.9695,770.3,440.8,5.43,0.00468,15,17,0.236,0.743,19,aless51,spw2123
109435,109435,52.9285,-27.74481,96.9539,781.1,385.6,5.42,0.00355,9,19,0.23,0.66,21,aless51,spw2123
109444,109444,52.93204,-27.7454,97.0008,678.4,366.4,5.28,0.004557,15,29,0.147,0.624,30,aless51,spw2123
119391,119391,53.25884,-27.68659,87.1253,524.7,183.2,6.55,0.005638,17,0,0.994,0.998,1,aless55,spw1719
119392,119392,53.27095,-27.68262,86.9378,173.7,313.2,5.66,0.003018,7,1,0.059,0.927,2,aless55,spw1719
119393,119393,53.2641,-27.6851,85.3751,372.3,232.0,5.57,0.003843,9,2,0.024,0.863,3,aless55,spw1719
119394,119394,53.26875,-27.67183,85.0939,237.5,666.1,5.45,0.003985,9,3,0.006,0.811,4,aless55,spw1719
119395,119395,53.268,-27.68329,85.1095,259.1,291.1,5.43,0.004849,13,4,0.004,0.603,5,aless55,spw1719
119396,119396,53.26599,-27.68487,86.0627,317.4,239.6,5.37,0.005335,19,5,0.002,0.896,6,aless55,spw1719
119398,119398,53.26302,-27.68189,85.7189,403.5,337.1,5.33,0.00534,19,7,0.001,0.881,8,aless55,spw1719
119400,119400,53.25775,-27.67347,85.4064,556.3,612.7,5.32,0.004773,15,8,0.001,0.693,10,aless55,spw1719
119405,119405,53.24683,-27.68394,85.6408,872.8,269.8,5.23,0.00358,9,14,0.0,0.692,15,aless55,spw1719
119406,119406,53.26757,-27.68254,87.1253,271.6,315.6,5.18,0.004731,19,15,0.0,0.807,16,aless55,spw1719
119407,119407,53.25737,-27.67474,84.5782,567.2,571.1,5.17,0.003542,9,16,0.0,0.654,17,aless55,spw1719
119414,119414,53.26194,-27.67653,85.4533,434.7,512.6,5.09,0.003522,9,23,0.0,0.602,24,aless55,spw1719
119421,119421,53.25276,-27.68645,87.0316,700.7,187.9,5.01,0.004558,19,30,0.0,0.696,31,aless55,spw1719
119436,119436,53.25717,-27.67912,86.3284,573.1,427.6,4.91,0.005042,19,45,0.0,0.62,46,aless55,spw1719
131982,131982,53.25915,-27.67653,99.5167,515.7,512.3,6.8,0.00449,9,0,1.0,0.982,1,aless55,spw2123
131983,131983,53.2576,-27.67774,99.4854,560.7,472.8,6.17,0.003772,7,1,0.961,0.892,2,aless55,spw2123
141811,141811,53.19127,-28.00645,85.3126,509.0,514.2,7.85,0.005567,9,0,1.0,1.0,1,aless61,spw1719
141812,141812,53.18617,-28.01359,86.2502,656.3,280.7,6.04,0.004613,11,1,0.685,0.956,2,aless61,spw1719
141813,141813,53.19902,-28.01603,84.4844,285.2,200.6,5.76,0.003808,9,2,0.513,0.96,3,aless61,spw1719
141814,141814,53.19119,-28.00647,85.422,511.2,513.7,5.6,0.005914,19,3,0.412,0.881,4,aless61,spw1719
141815,141815,53.20168,-28.00813,84.4688,208.1,459.1,5.59,0.001958,3,4,0.405,0.77,5,aless61,spw1719
141816,141816,53.19123,-28.00656,85.2032,510.0,510.7,5.56,0.00529,15,5,0.387,0.798,6,aless61,spw1719
141817,141817,53.18406,-28.00647,87.2035,717.2,513.5,5.53,0.004636,15,6,0.369,0.785,7,aless61,spw1719
141818,141818,53.19825,-28.01545,85.7033,307.4,219.8,5.53,0.001949,3,7,0.369,0.728,8,aless61,spw1719
141819,141819,53.19285,-27.99431,87.516,463.2,911.7,5.47,0.005243,17,8,0.333,0.845,9,aless61,spw1719
141820,141820,53.18906,-28.01903,85.0782,572.9,102.5,5.46,0.005541,17,9,0.327,0.84,10,aless61,spw1719
141821,141821,53.19469,-28.00093,84.9532,410.0,694.9,5.42,0.004455,11,10,0.305,0.713,11,aless61,spw1719
141823,141823,53.17956,-28.00278,87.2191,847.2,634.3,5.4,0.003489,9,12,0.293,0.719,13,aless61,spw1719
141825,141825,53.18877,-28.00056,85.0782,581.0,707.0,5.34,0.004337,11,14,0.261,0.661,15,aless61,spw1719
141826,141826,53.1794,-28.00587,87.141,852.0,533.2,5.33,0.004969,19,15,0.256,0.784,16,aless61,spw1719
141827,141827,53.20305,-28.01342,86.9847,168.6,286.2,5.33,0.004603,17,16,0.256,0.765,17,aless61,spw1719
141828,141828,53.17661,-28.00142,85.7814,932.5,679.0,5.3,0.00508,17,17,0.241,0.745,18,aless61,spw1719
141831,141831,53.18665,-28.00856,86.9222,642.4,445.3,5.22,0.003929,13,20,0.203,0.622,21,aless61,spw1719
141832,141832,53.17801,-28.00961,87.4691,892.0,410.7,5.21,0.005238,19,21,0.198,0.73,22,aless61,spw1719
141837,141837,53.19852,-28.00063,85.2032,299.5,704.6,5.16,0.005265,17,26,0.177,0.641,27,aless61,spw1719
141851,141851,53.19781,-28.01842,85.7814,320.0,122.4,5.03,0.004987,19,40,0.128,0.637,41,aless61,spw1719
154583,154583,53.20038,-28.01239,97.0945,245.8,319.9,5.55,0.003005,7,0,0.0,0.703,1,aless61,spw2123
154584,154584,53.1995,-28.00294,99.3135,271.2,629.2,5.47,0.005765,19,1,0.0,0.825,2,aless61,spw2123
154585,154585,53.19751,-28.00433,97.0476,328.6,583.7,5.42,0.002987,7,2,0.0,0.644,3,aless61,spw2123
154595,154595,53.18266,-28.0026,97.829,757.7,640.1,5.24,0.005166,19,12,0.0,0.685,13,aless61,spw2123
154597,154597,53.18327,-28.00219,97.8133,740.0,653.8,5.23,0.005175,19,14,0.0,0.678,15,aless61,spw2123
154608,154608,53.18263,-28.00387,97.8602,758.5,598.8,5.13,0.005072,19,27,0.0,0.605,26,aless61,spw2123
164518,164518,53.15913,-27.58604,87.0472,318.0,368.3,6.08,0.00493,15,0,0.908,0.915,1,aless62,spw1719
164519,164519,53.16578,-27.58289,85.0001,125.1,471.3,5.85,0.002235,3,1,0.494,0.789,2,aless62,spw1719
164520,164520,53.1595,-27.57408,86.3284,307.4,759.8,5.65,0.004255,11,2,0.118,0.776,3,aless62,spw1719
164521,164521,53.15449,-27.57845,87.3285,452.6,616.9,5.53,0.003121,7,3,0.03,0.737,4,aless62,spw1719
164522,164522,53.154,-27.58695,87.266,466.9,338.4,5.48,0.00432,13,4,0.015,0.772,5,aless62,spw1719
164523,164523,53.13735,-27.57927,86.5472,949.7,589.8,5.31,0.004739,17,5,0.001,0.706,6,aless62,spw1719
164526,164526,53.15924,-27.58734,87.1566,314.8,325.7,5.27,0.003365,9,8,0.0,0.627,9,aless62,spw1719
164533,164533,53.15577,-27.56991,86.5628,415.6,896.3,5.14,0.004858,19,15,0.0,0.697,16,aless62,spw1719
164539,164539,53.15686,-27.58782,85.7971,383.8,310.1,5.09,0.004939,19,21,0.0,0.665,22,aless62,spw1719
164541,164541,53.1457,-27.5724,87.516,707.5,814.8,5.08,0.005019,19,23,0.0,0.658,24,aless62,spw1719
164545,164545,53.16476,-27.58872,84.6719,154.8,280.5,5.06,0.005242,19,27,0.0,0.645,28,aless62,spw1719
164553,164553,53.15117,-27.58737,86.5003,548.9,324.7,5.0,0.004834,19,35,0.0,0.604,36,aless62,spw1719
177098,177098,53.15219,-27.58151,97.579,519.3,516.4,20.6,0.015951,11,0,1.0,1.0,1,aless62,spw2123
177099,177099,53.15333,-27.58121,97.579,486.3,526.5,20.28,0.017226,13,1,1.0,1.0,2,aless62,spw2123
177100,177100,53.15272,-27.58187,97.5946,504.0,504.8,20.27,0.017243,13,2,1.0,1.0,3,aless62,spw2123
177101,177101,53.15394,-27.58139,97.579,468.6,520.4,19.84,0.013589,9,3,1.0,1.0,4,aless62,spw2123
177102,177102,53.14996,-27.58223,97.6102,584.0,493.0,19.58,0.016576,13,4,1.0,1.0,5,aless62,spw2123
177103,177103,53.15273,-27.58028,97.5946,503.7,556.9,19.55,0.017888,15,5,1.0,1.0,6,aless62,spw2123
177104,177104,53.15403,-27.58324,97.5633,466.1,459.8,19.34,0.013149,9,6,1.0,1.0,7,aless62,spw2123
177105,177105,53.15466,-27.58054,97.579,447.6,548.4,19.23,0.017547,15,7,1.0,1.0,8,aless62,spw2123
177106,177106,53.14945,-27.58495,97.5633,598.9,404.1,18.62,0.010896,7,8,1.0,1.0,9,aless62,spw2123
177107,177107,53.15209,-27.58058,97.6258,522.4,546.9,18.59,0.018101,17,9,1.0,1.0,10,aless62,spw2123
177108,177108,53.15133,-27.58266,97.5477,544.3,479.0,18.36,0.012388,9,10,1.0,1.0,11,aless62,spw2123
177109,177109,53.15438,-27.57977,97.579,455.7,573.5,18.24,0.010679,7,11,1.0,1.0,12,aless62,spw2123
177110,177110,53.15217,-27.58221,97.6102,519.8,493.7,17.9,0.018411,19,12,1.0,1.0,13,aless62,spw2123
177111,177111,53.15263,-27.58377,97.6258,506.5,442.8,17.76,0.013703,11,13,1.0,1.0,14,aless62,spw2123
177112,177112,53.15834,-27.58174,97.5946,341.0,509.2,17.61,0.018112,19,14,1.0,1.0,15,aless62,spw2123
177113,177113,53.15287,-27.58473,97.5633,499.7,411.2,16.75,0.008012,5,15,1.0,1.0,16,aless62,spw2123
177114,177114,53.15102,-27.57982,97.5477,553.1,571.8,16.48,0.016768,19,16,1.0,1.0,17,aless62,spw2123
177115,177115,53.15137,-27.58026,97.6571,543.1,557.6,16.41,0.015858,17,17,1.0,1.0,18,aless62,spw2123
177116,177116,53.14775,-27.58121,97.5321,648.0,526.5,16.4,0.011,9,18,1.0,1.0,19,aless62,spw2123
177117,177117,53.14897,-27.58108,97.5321,612.8,530.8,16.18,0.01643,19,19,1.0,1.0,20,aless62,spw2123
177118,177118,53.15151,-27.58179,97.579,538.9,507.6,16.06,0.007687,5,20,1.0,1.0,21,aless62,spw2123
177119,177119,53.15258,-27.5848,97.6727,507.9,408.9,15.96,0.016439,19,21,1.0,1.0,22,aless62,spw2123
177120,177120,53.15606,-27.58055,97.5321,407.1,547.9,15.87,0.01405,15,22,1.0,1.0,23,aless62,spw2123
177121,177121,53.15254,-27.58097,97.6415,509.1,534.2,15.7,0.009462,7,23,1.0,1.0,24,aless62,spw2123
177122,177122,53.15058,-27.58431,97.6571,565.9,424.8,15.66,0.014154,15,24,1.0,1.0,25,aless62,spw2123
177123,177123,53.15026,-27.58366,97.6571,575.4,446.2,15.19,0.012751,13,25,1.0,1.0,26,aless62,spw2123
177124,177124,53.15279,-27.57781,97.5164,501.9,637.6,14.88,0.014067,17,26,1.0,1.0,27,aless62,spw2123
177125,177125,53.1501,-27.58005,97.5164,579.9,564.2,14.37,0.011632,13,27,1.0,1.0,28,aless62,spw2123
177126,177126,53.15675,-27.58067,97.5164,387.1,544.1,13.96,0.009291,9,28,1.0,1.0,29,aless62,spw2123
177127,177127,53.15435,-27.57905,97.6571,456.5,597.2,13.81,0.008285,7,29,1.0,1.0,30,aless62,spw2123
177128,177128,53.15591,-27.58276,97.5164,411.5,475.8,13.78,0.007978,7,30,1.0,1.0,31,aless62,spw2123
177129,177129,53.1521,-27.58154,97.6883,521.8,515.7,13.78,0.013408,17,31,1.0,1.0,32,aless62,spw2123
177130,177130,53.15037,-27.58055,97.6727,572.0,548.1,13.62,0.011421,13,32,1.0,1.0,33,aless62,spw2123
177131,177131,53.15379,-27.58266,97.5946,473.1,478.8,13.33,0.004613,3,33,1.0,1.0,34,aless62,spw2123
177132,177132,53.14918,-27.58045,97.6883,606.7,551.4,12.95,0.011758,15,34,1.0,1.0,35,aless62,spw2123
177133,177133,53.15379,-27.58408,97.4852,473.0,432.5,12.53,0.011666,17,35,1.0,1.0,36,aless62,spw2123
177134,177134,53.14933,-27.58215,97.5008,602.3,495.6,12.5,0.010114,13,36,1.0,1.0,37,aless62,spw2123
177135,177135,53.15153,-27.58117,97.6883,538.5,527.6,12.16,0.0102,13,37,1.0,1.0,38,aless62,spw2123
177136,177136,53.15211,-27.58146,97.4696,521.8,518.3,11.91,0.011701,19,38,1.0,1.0,39,aless62,spw2123
177137,177137,53.15096,-27.58084,97.6883,554.9,538.6,11.3,0.008638,11,39,1.0,1.0,40,aless62,spw2123
177138,177138,53.15446,-27.58499,97.7352,453.6,402.7,11.2,0.011552,19,40,1.0,1.0,41,aless62,spw2123
177139,177139,53.14997,-27.58352,97.4852,583.8,450.8,10.88,0.008774,13,41,1.0,1.0,42,aless62,spw2123
177140,177140,53.15278,-27.58159,97.4539,502.3,513.8,10.67,0.010408,19,42,1.0,1.0,43,aless62,spw2123
177141,177141,53.15081,-27.57954,97.7509,559.4,581.1,10.04,0.010323,19,43,1.0,1.0,44,aless62,spw2123
177142,177142,53.15337,-27.58322,97.4383,485.0,460.8,9.52,0.009202,19,44,1.0,1.0,45,aless62,spw2123
177143,177143,53.15094,-27.58262,97.7665,555.5,480.2,8.91,0.009112,19,45,1.0,1.0,46,aless62,spw2123
177144,177144,53.14974,-27.58122,97.7509,590.3,526.1,7.77,0.007032,15,46,1.0,1.0,47,aless62,spw2123
177145,177145,53.15322,-27.5823,97.6883,489.5,490.6,6.31,0.002224,3,47,0.995,0.997,48,aless62,spw2123
177146,177146,53.15271,-27.58231,97.7977,504.2,490.4,6.01,0.006087,19,48,0.263,0.934,49,aless62,spw2123
177147,177147,53.15585,-27.5755,99.0323,413.2,713.4,5.74,0.003678,7,49,0.0,0.835,50,aless62,spw2123
177149,177149,53.15892,-27.57157,96.6257,324.1,841.8,5.64,0.003405,7,51,0.0,0.793,52,aless62,spw2123
177150,177150,53.15261,-27.57709,99.0166,507.3,661.4,5.53,0.003545,7,52,0.0,0.741,53,aless62,spw2123
177153,177153,53.15329,-27.58089,97.0789,487.4,536.9,5.38,0.004768,17,54,0.0,0.683,56,aless62,spw2123
177157,177157,53.15219,-27.59125,98.8916,519.3,197.9,5.3,0.003305,7,59,0.0,0.613,60,aless62,spw2123
186895,186895,53.21772,-27.59059,84.6876,514.4,514.3,10.18,0.007162,9,0,1.0,1.0,1,aless65,spw1719
186896,186896,53.21783,-27.5906,84.5782,511.2,513.9,7.36,0.007598,19,1,1.0,1.0,2,aless65,spw1719
186897,186897,53.2181,-27.58463,84.7813,503.5,709.2,6.12,0.003109,5,2,0.757,0.958,3,aless65,spw1719
186898,186898,53.23212,-27.59156,87.3129,96.9,482.6,5.8,0.003753,9,3,0.486,0.944,4,aless65,spw1719
186899,186899,53.21507,-27.60364,85.7189,591.5,87.1,5.72,0.003387,7,4,0.414,0.735,5,aless65,spw1719
186900,186900,53.20697,-27.5909,84.4688,826.3,504.0,5.72,0.005101,15,5,0.414,0.973,6,aless65,spw1719
186901,186901,53.21775,-27.5906,84.7969,513.6,513.9,5.71,0.005952,19,6,0.405,0.838,7,aless65,spw1719
186902,186902,53.21961,-27.59075,85.4689,459.7,509.2,5.63,0.005744,19,7,0.336,0.801,8,aless65,spw1719
186905,186905,53.21341,-27.58265,86.3128,639.4,774.2,5.43,0.003709,9,10,0.189,0.833,11,aless65,spw1719
186908,186908,53.23144,-27.58384,86.469,116.4,735.3,5.39,0.003491,9,13,0.166,0.815,14,aless65,spw1719
186912,186912,53.22573,-27.59623,86.6097,282.2,329.8,5.27,0.003802,11,17,0.106,0.76,18,aless65,spw1719
186915,186915,53.20671,-27.59649,85.7971,833.9,321.3,5.15,0.00385,11,20,0.064,0.683,21,aless65,spw1719
186921,186921,53.23078,-27.58966,84.7188,135.7,544.7,5.09,0.00355,9,26,0.049,0.653,27,aless65,spw1719
186922,186922,53.20594,-27.58197,85.6095,856.2,796.3,5.09,0.003835,11,27,0.049,0.641,28,aless65,spw1719
186924,186924,53.21679,-27.58998,87.3754,541.5,534.2,5.05,0.003297,9,29,0.04,0.628,30,aless65,spw1719
186925,186925,53.2239,-27.58014,85.6721,335.3,856.3,5.05,0.003375,9,30,0.04,0.628,31,aless65,spw1719
186929,186929,53.22389,-27.60122,84.3438,335.4,166.5,5.03,0.00342,9,34,0.036,0.615,35,aless65,spw1719
186938,186938,53.22464,-27.59456,85.1876,313.9,384.3,4.94,0.004731,15,43,0.023,0.659,44,aless65,spw1719
186945,186945,53.21001,-27.58661,85.8596,738.0,644.4,4.91,0.004083,15,52,0.019,0.637,51,aless65,spw1719
186959,186959,53.20887,-27.59168,87.1722,771.2,478.8,4.87,0.003995,15,64,0.015,0.608,65,aless65,spw1719
209386,209386,53.38699,-27.91523,85.297,399.2,101.0,6.14,0.004924,11,0,0.863,0.996,1,aless66,spw1719
209387,209387,53.39589,-27.9109,84.9219,141.7,242.7,6.05,0.003136,5,1,0.766,1.0,2,aless66,spw1719
209388,209388,53.39499,-27.91059,86.5784,167.8,252.9,5.86,0.001914,3,2,0.481,0.978,3,aless66,spw1719
209389,209389,53.37401,-27.90476,85.3126,774.6,443.6,5.66,0.002915,5,3,0.194,0.987,4,aless66,spw1719
209390,209390,53.38359,-27.9104,85.0938,497.5,259.3,5.64,0.006054,19,4,0.172,0.793,5,aless66,spw1719
209391,209391,53.37739,-27.90583,86.2659,676.8,408.6,5.52,0.002712,5,5,0.076,0.887,6,aless66,spw1719
209392,209392,53.37719,-27.90831,85.5783,682.5,327.6,5.5,0.002778,5,6,0.065,0.857,7,aless66,spw1719
209393,209393,53.38857,-27.91259,87.4691,353.5,187.5,5.42,0.002614,5,7,0.033,0.69,8,aless66,spw1719
209394,209394,53.38223,-27.90851,84.2187,536.9,321.1,5.38,0.00393,17,8,0.023,0.779,9,aless66,spw1719
209399,209399,53.38555,-27.89808,86.2971,440.7,662.3,5.27,0.00507,17,13,0.007,0.724,14,aless66,spw1719
209401,209401,53.38042,-27.90471,84.375,589.1,445.3,5.22,0.003075,7,15,0.004,0.817,16,aless66,spw1719
209406,209406,53.39014,-27.91038,86.0627,308.0,259.9,5.15,0.005043,17,20,0.002,0.656,21,aless66,spw1719
209408,209408,53.38762,-27.89345,86.6722,381.0,814.0,5.13,0.002747,7,22,0.001,0.746,23,aless66,spw1719
209410,209410,53.37148,-27.90384,87.4066,847.6,473.8,5.1,0.00449,15,24,0.001,0.656,25,aless66,spw1719
209411,209411,53.3814,-27.89096,86.5471,560.9,895.5,5.09,0.004548,17,25,0.001,0.62,26,aless66,spw1719
209412,209412,53.38076,-27.90982,84.625,579.5,278.3,5.09,0.004651,15,26,0.001,0.649,27,aless66,spw1719
209415,209415,53.3923,-27.9097,87.0159,245.6,282.0,5.08,0.002728,7,29,0.001,0.701,30,aless66,spw1719
209419,209419,53.3907,-27.89645,86.5471,291.8,715.7,5.03,0.002793,7,34,0.0,0.653,34,aless66,spw1719
209420,209420,53.39029,-27.90186,86.7503,303.7,538.7,5.03,0.002725,7,35,0.0,0.653,35,aless66,spw1719
209421,209421,53.3751,-27.91103,84.25,743.1,238.4,5.03,0.003023,7,32,0.0,0.653,36,aless66,spw1719
221994,221994,53.3857,-27.90539,97.3601,436.6,423.0,11.48,0.00642,7,0,1.0,1.0,1,aless66,spw2123
221995,221995,53.38384,-27.90375,97.3445,490.1,476.9,11.33,0.006412,7,1,1.0,1.0,2,aless66,spw2123
221996,221996,53.38587,-27.90331,97.3445,431.7,491.3,11.18,0.007273,9,2,1.0,1.0,3,aless66,spw2123
221997,221997,53.38268,-27.90063,97.3601,523.8,579.1,11.14,0.007205,9,3,1.0,1.0,4,aless66,spw2123
221998,221998,53.38333,-27.90276,97.3601,505.1,509.1,11.13,0.005102,5,4,1.0,1.0,5,aless66,spw2123
221999,221999,53.38385,-27.90473,97.3758,490.1,444.6,10.68,0.005931,7,5,1.0,1.0,6,aless66,spw2123
222000,222000,53.38401,-27.90232,97.3601,485.2,523.8,10.59,0.007666,11,6,1.0,1.0,7,aless66,spw2123
222001,222001,53.383,-27.90193,97.3758,514.4,536.5,10.58,0.00681,9,7,1.0,1.0,8,aless66,spw2123
222002,222002,53.38307,-27.90525,97.3289,512.7,427.6,10.25,0.008073,13,8,1.0,1.0,9,aless66,spw2123
222003,222003,53.38508,-27.90494,97.3758,454.5,437.8,10.23,0.004652,5,9,1.0,1.0,10,aless66,spw2123
222004,222004,53.38342,-27.90581,97.3445,502.5,409.5,10.12,0.00799,13,10,1.0,1.0,11,aless66,spw2123
222005,222005,53.38628,-27.90445,97.3758,419.6,453.9,10.1,0.007281,11,11,1.0,1.0,12,aless66,spw2123
222006,222006,53.38177,-27.89934,97.3133,550.0,621.0,9.67,0.008215,15,12,1.0,1.0,13,aless66,spw2123
222007,222007,53.38068,-27.90397,97.3133,581.7,469.5,9.55,0.004425,5,13,1.0,1.0,14,aless66,spw2123
222008,222008,53.38447,-27.90357,97.3289,472.1,482.8,9.5,0.003178,3,14,1.0,1.0,15,aless66,spw2123
222009,222009,53.38084,-27.90341,97.2976,577.0,487.8,9.3,0.007323,13,15,1.0,1.0,16,aless66,spw2123
222010,222010,53.38495,-27.9026,97.2976,458.0,514.5,9.3,0.00667,11,16,1.0,1.0,17,aless66,spw2123
222011,222011,53.38095,-27.90021,97.3133,574.0,592.8,9.22,0.008352,17,17,1.0,1.0,18,aless66,spw2123
222012,222012,53.37948,-27.90418,97.2976,616.3,462.6,9.12,0.00825,17,18,1.0,1.0,19,aless66,spw2123
222013,222013,53.38463,-27.89932,97.282,467.4,621.9,8.98,0.0081,17,19,1.0,1.0,20,aless66,spw2123
222014,222014,53.38109,-27.90284,97.3445,569.7,506.6,8.94,0.008102,17,20,1.0,1.0,21,aless66,spw2123
222015,222015,53.38594,-27.90232,97.3914,429.4,523.6,8.65,0.003937,5,21,1.0,1.0,22,aless66,spw2123
222016,222016,53.38247,-27.90306,97.282,529.8,499.5,8.27,0.005884,11,22,1.0,1.0,23,aless66,spw2123
222017,222017,53.38351,-27.90198,97.2508,499.8,534.8,7.95,0.007576,19,23,1.0,1.0,24,aless66,spw2123
222018,222018,53.3822,-27.90506,97.407,537.6,434.1,7.59,0.00484,9,24,1.0,1.0,25,aless66,spw2123
222019,222019,53.38346,-27.9027,97.2508,501.4,511.2,7.54,0.006777,17,25,1.0,1.0,26,aless66,spw2123
222020,222020,53.38516,-27.9025,97.4539,452.2,517.7,7.19,0.006977,19,26,1.0,1.0,27,aless66,spw2123
222021,222021,53.3833,-27.90338,97.2351,505.8,488.9,7.18,0.0068,19,27,1.0,1.0,28,aless66,spw2123
222022,222022,53.38487,-27.90343,97.4383,460.5,487.4,7.13,0.006479,17,28,1.0,1.0,29,aless66,spw2123
222023,222023,53.38499,-27.90411,97.4539,457.0,465.0,6.66,0.006059,17,29,0.998,1.0,30,aless66,spw2123
222024,222024,53.38387,-27.90304,97.4695,489.4,499.9,6.57,0.006387,19,30,0.994,1.0,31,aless66,spw2123
222025,222025,53.38224,-27.90378,97.2508,536.4,475.9,6.03,0.004256,11,31,0.585,0.987,32,aless66,spw2123
222026,222026,53.37815,-27.89742,97.7821,655.0,683.8,5.96,0.003592,7,32,0.468,0.857,33,aless66,spw2123
222027,222027,53.38379,-27.90189,97.4852,491.8,537.6,5.62,0.005468,19,33,0.066,0.988,34,aless66,spw2123
222033,222033,53.3721,-27.89862,98.4384,829.9,644.8,5.41,0.005073,17,39,0.008,0.696,40,aless66,spw2123
222037,222037,53.38298,-27.90244,98.454,515.1,519.6,5.33,0.004992,17,43,0.003,0.615,44,aless66,spw2123
231815,231815,53.22705,-28.02164,91.8228,810.0,356.7,5.34,0.004097,9,0,0.0,0.878,1,aless6,spw1719
231817,231817,53.2443,-28.01926,92.1041,311.9,434.4,5.26,0.003568,7,2,0.0,0.669,3,aless6,spw1719
231818,231818,53.24386,-28.02784,91.3227,324.5,153.6,5.26,0.004762,13,3,0.0,0.727,4,aless6,spw1719
