,Unnamed: 0,RA,DEC,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window
36437,36437,53.0306,-27.85576,90.8227,507.3,513.1,8.19,0.0049,5,0,1.0,1.0,1,aless17,spw1719
36439,36439,53.01681,-27.85523,90.9633,906.5,530.3,5.29,0.005488,15,2,0.0,0.999,3,aless17,spw1719
36441,36441,53.02205,-27.86041,92.2916,754.8,360.8,5.23,0.005586,15,4,0.0,0.997,5,aless17,spw1719
36445,36445,53.0378,-27.86383,91.5415,299.3,248.9,5.09,0.00324,7,8,0.0,0.633,9,aless17,spw1719
36446,36446,53.04239,-27.85592,90.307,166.2,507.9,5.08,0.003712,7,9,0.0,0.628,10,aless17,spw1719
36447,36447,53.03291,-27.86185,91.4009,440.5,313.8,5.07,0.0042,11,10,0.0,0.693,11,aless17,spw1719
36449,36449,53.02972,-27.85993,91.1352,532.8,376.7,5.04,0.004214,11,13,0.0,0.664,13,aless17,spw1719
36450,36450,53.02777,-27.86192,89.885,589.3,311.7,5.04,0.002045,7,12,0.0,0.608,14,aless17,spw1719
36451,36451,53.02698,-27.86448,92.0259,612.1,227.9,5.03,0.004336,11,14,0.0,0.654,15,aless17,spw1719
36455,36455,53.04187,-27.85256,91.0727,181.3,617.8,4.98,0.004957,15,18,0.0,0.948,19,aless17,spw1719
36463,36463,53.01652,-27.85714,91.854,914.9,467.8,4.91,0.004993,15,26,0.0,0.905,27,aless17,spw1719
36477,36477,53.02832,-27.85642,92.526,573.5,491.5,4.8,0.005284,15,40,0.0,0.793,41,aless17,spw1719
36480,36480,53.03333,-27.85175,91.7603,428.5,644.2,4.8,0.005015,15,43,0.0,0.793,44,aless17,spw1719
44942,44942,53.02814,-27.85256,101.1791,578.8,617.7,5.71,0.004846,9,0,0.213,0.822,1,aless17,spw2123
44943,44943,53.03501,-27.84492,101.476,379.7,867.8,5.66,0.006826,17,1,0.172,0.841,2,aless17,spw2123
44944,44944,53.02218,-27.86257,102.7105,751.1,290.2,5.51,0.002586,3,2,0.081,0.71,3,aless17,spw2123
44945,44945,53.03237,-27.86179,103.9294,456.2,315.9,5.4,0.004329,7,3,0.042,0.645,4,aless17,spw2123
44946,44946,53.03144,-27.85481,102.1948,483.3,544.1,5.38,0.006224,17,4,0.036,0.665,5,aless17,spw2123
54643,54643,53.07489,-27.8759,84.922,511.3,513.4,7.55,0.005563,9,0,1.0,1.0,1,aless34,spw1719
54644,54644,53.07754,-27.8839,85.3283,434.6,251.5,5.88,0.003594,7,1,0.352,0.929,2,aless34,spw1719
54645,54645,53.08102,-27.87655,84.5938,333.9,492.2,5.86,0.006047,19,2,0.329,0.972,3,aless34,spw1719
54649,54649,53.07719,-27.87992,86.2502,444.9,381.7,5.45,0.002748,5,6,0.044,0.653,7,aless34,spw1719
67349,67349,53.06867,-27.87972,97.0476,691.2,388.2,8.48,0.005426,9,0,1.0,1.0,1,aless34,spw2123
67350,67350,53.07362,-27.87172,97.032,548.1,650.0,8.42,0.00599,11,1,1.0,1.0,2,aless34,spw2123
67351,67351,53.0751,-27.8791,97.0476,505.2,408.6,8.33,0.004659,7,2,1.0,1.0,3,aless34,spw2123
67352,67352,53.06985,-27.87901,97.032,657.0,411.7,8.29,0.005312,9,3,1.0,1.0,4,aless34,spw2123
67353,67353,53.07569,-27.87513,97.032,488.3,538.6,8.14,0.006303,13,4,1.0,1.0,5,aless34,spw2123
67354,67354,53.07502,-27.87383,97.0633,507.5,581.0,8.05,0.005124,9,5,1.0,1.0,6,aless34,spw2123
67355,67355,53.07502,-27.87541,97.0633,507.5,529.5,8.02,0.006158,13,6,1.0,1.0,7,aless34,spw2123
67356,67356,53.07306,-27.87339,97.0476,564.3,595.6,7.88,0.006523,15,7,1.0,1.0,8,aless34,spw2123
67357,67357,53.07425,-27.87337,97.0633,530.0,596.2,7.76,0.006406,15,8,1.0,1.0,9,aless34,spw2123
67358,67358,53.07418,-27.87732,97.0789,531.8,467.0,7.59,0.005347,11,9,1.0,1.0,10,aless34,spw2123
67359,67359,53.07245,-27.87718,97.0633,581.9,471.5,7.43,0.006538,17,10,0.999,1.0,11,aless34,spw2123
67360,67360,53.07483,-27.87439,97.0789,513.0,562.8,7.24,0.006357,17,11,0.997,1.0,12,aless34,spw2123
67361,67361,53.07346,-27.87434,97.0945,552.8,564.4,7.06,0.006192,17,12,0.988,0.999,13,aless34,spw2123
67362,67362,53.07513,-27.87626,97.0164,504.4,501.7,6.97,0.003877,7,13,0.98,1.0,14,aless34,spw2123
67363,67363,53.07418,-27.875,97.0476,532.0,542.9,6.87,0.006421,19,14,0.965,0.997,15,aless34,spw2123
67364,67364,53.06956,-27.87747,96.9851,665.4,461.9,6.7,0.006074,17,15,0.919,0.995,16,aless34,spw2123
67365,67365,53.06772,-27.87978,97.0945,718.8,386.3,6.64,0.004184,9,16,0.896,0.988,17,aless34,spw2123
67366,67366,53.07516,-27.87752,97.0476,503.5,460.4,6.52,0.002184,3,17,0.833,1.0,18,aless34,spw2123
67367,67367,53.07525,-27.87603,97.1258,500.9,509.1,6.5,0.006056,19,18,0.821,0.973,19,aless34,spw2123
67368,67368,53.07361,-27.87652,97.1101,548.3,492.9,6.09,0.004245,11,19,0.473,0.886,20,aless34,spw2123
