RA_1,DEC_1,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID_1,source,window,ID_2,RA_2,DEC_2,VIMOS_U,MUSYC_U,MUSYC_U38,MUSYC_B,MUSYC_V,MUSYC_R,MUSYC_I,MUSYC_Z,MUSYC_J,HAWK_J,TENIS_J,MUSYC_H,MUSYC_K,HAWK_K,TENIS_K,SIMPLE_CH1,SIMPLE_CH2,SIMPLE_CH3,SIMPLE_CH4,VIMOS_UE,MUSYC_UE,MUSYC_U38E,MUSYC_BE,MUSYC_VE,MUSYC_RE,MUSYC_IE,MUSYC_ZE,MUSYC_JE,HAWK_JE,TENIS_JE,MUSYC_HE,MUSYC_KE,HAWK_KE,TENIS_KE,SIMPLE_CH1E,SIMPLE_CH2E,SIMPLE_CH3E,SIMPLE_CH4E,zphot,zlo,zhi,Mh,wb_obs,wb_det,GroupID,GroupSize,Separation
53.06867,-27.87972,97.0476,691.2,388.2,8.48,0.005426,9,0,1.0,1.0,11,aless34,spw2123,26609,53.0668653,-27.8817329,27.76799309378388,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.0,22.436071213423133,999.0,999.0,23.49303729408968,23.417283005168454,999.0,999.0,0.190061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262091,0.0,0.0,0.110355,0.140091,0.0,0.0,1.705,1.092,2.597,-21.07,14,4,5,107,9.246100770424562
53.06867,-27.87972,97.0476,691.2,388.2,8.48,0.005426,9,0,1.0,1.0,11,aless34,spw2123,27116,53.0695691,-27.8775227,27.807993093783878,999.0,999.0,999.0,26.116071213423133,24.317071213423134,22.833071213423132,22.630071213423133,21.592071213423132,21.690046,21.558893521334657,0.0,21.049071213423133,20.898046,20.713453612195707,20.48303729408968,20.80828300516845,21.35446968190389,21.919779609254235,0.196584,0.0,0.0,0.0,0.220499,0.0941766,0.052765,0.066425,0.0599758,0.0204598,0.0145925,0.0,0.0796342,0.0148261,0.0115555,0.00723772,0.0134412,0.101482,0.0858328,0.94,0.91,0.982,-22.83,14,11,5,107,8.411803333244995
53.06867,-27.87972,97.0476,691.2,388.2,8.48,0.005426,9,0,1.0,1.0,11,aless34,spw2123,26809,53.0698371,-27.880522,26.36499309378388,26.32107121342313,999.0,26.238071213423133,25.868071213423132,25.470071213423132,24.422071213423134,999.0,999.0,23.414046,23.280893521334654,0.0,21.561071213423133,21.618046,21.510453612195704,20.944037294089682,20.819283005168455,20.62746968190389,21.039779609254236,0.0556021,0.262436,0.0,0.204958,0.178965,0.252695,0.211608,0.0,0.0,0.0966338,0.0694835,0.0,0.124939,0.0285933,0.0239389,0.0110469,0.0135773,0.0531343,0.039004,1.94,1.879,1.942,-23.95,14,12,5,107,4.7041258938038
53.06867,-27.87972,97.0476,691.2,388.2,8.48,0.005426,9,0,1.0,1.0,11,aless34,spw2123,26851,53.0688467,-27.8797119,26.231993093783878,999.0,999.0,25.378071213423134,25.053071213423134,24.52407121342313,24.339071213423132,23.773071213423133,23.146071213423134,23.295046,23.301893521334655,0.0,21.714071213423132,22.005046,21.820453612195703,20.854037294089682,20.605283005168452,20.422469681903888,20.548779609254236,0.0493349,0.0,0.0,0.0976399,0.0881659,0.112961,0.197365,0.180426,0.231477,0.086993,0.0707972,0.0,0.142653,0.0406114,0.031735,0.0101722,0.0111608,0.0441753,0.0249763,1.695,1.55,1.844,-23.88,14,12,5,107,0.5630419425624484
53.06867,-27.87972,97.0476,691.2,388.2,8.48,0.005426,9,0,1.0,1.0,11,aless34,spw2123,27072,53.0674174,-27.8781797,25.33599309378388,25.736071213423134,999.0,24.832071213423134,24.590071213423133,23.900071213423132,22.865071213423132,22.500071213423134,21.740071213423132,21.696046,21.564893521334657,0.0,21.102071213423134,20.888046,20.712453612195702,20.511037294089682,20.790283005168455,21.233469681903888,21.870779609254235,0.0218914,0.160705,0.0,0.0600935,0.0583618,0.0650198,0.0543045,0.0591295,0.0684639,0.0205721,0.0146729,0.0,0.0834686,0.0146911,0.0115449,0.00742615,0.0132216,0.0912166,0.082185,0.645,0.597,0.691,-22.0,14,13,5,107,6.829059022059889
53.06867,-27.87972,97.0476,691.2,388.2,8.48,0.005426,9,0,1.0,1.0,11,aless34,spw2123,26957,53.069292,-27.8788011,24.394993093783878,24.605071213423134,24.54507121342313,24.332071213423134,23.97507121342313,23.618071213423132,22.76007121342313,22.522071213423132,21.986071213423134,21.917046,21.966893521334654,0.0,21.290071213423133,21.272046,21.032453612195702,20.544037294089684,20.76728300516845,20.841469681903888,20.966779609254235,0.00925564,0.0594594,0.127932,0.0383018,0.0335069,0.0504868,0.0494108,0.0603069,0.0852066,0.0251627,0.021184,0.0,0.0985518,0.0208649,0.015474,0.00765452,0.0129461,0.0643734,0.0365099,1.155,1.078,1.207,-23.14,14,14,5,107,3.854968922299244
53.07362,-27.87172,97.032,548.1,650.0,8.42,0.00599,11,1,1.0,1.0,12,aless34,spw2123,27907,53.0742386,-27.8695723,25.51499309378388,999.0,25.342071213423132,25.230071213423134,25.049071213423133,24.988071213423133,999.0,999.0,23.089071213423132,23.787046,23.951893521334657,0.0,22.107071213423133,23.183046,23.035453612195703,22.40503729408968,22.200283005168455,22.174469681903886,22.699779609254236,0.0257689,0.0,0.2514,0.085675,0.0878545,0.168708,0.0,0.0,0.220763,0.133889,0.125573,0.0,0.199446,0.116033,0.0943816,0.0418271,0.0476825,0.205623,0.169291,1.925,1.599,2.081,-22.56,14,11,5,107,7.97841178515621
53.07362,-27.87172,97.032,548.1,650.0,8.42,0.00599,11,1,1.0,1.0,12,aless34,spw2123,27684,53.0715924,-27.8724601,25.10199309378388,25.621071213423132,25.334071213423133,24.488071213423133,24.008071213423133,23.296071213423133,21.983071213423134,21.678071213423134,21.067071213423134,20.919046,20.914893521334655,0.0,20.139071213423133,20.050046,19.869453612195706,19.39503729408968,19.455283005168454,19.60046968190389,19.345779609254233,0.0176815,0.145587,0.249751,0.0441013,0.0345247,0.0377522,0.0244369,0.0281349,0.0373706,0.0101059,0.00808787,0.0,0.0351619,0.00681447,0.00532641,0.00266267,0.00388288,0.0209435,0.00831131,1.18,1.123,1.255,-24.4,14,14,5,107,6.981023356214742
53.0751,-27.8791,97.0476,505.2,408.6,8.33,0.004659,7,2,1.0,1.0,13,aless34,spw2123,26962,53.0729583,-27.8783692,999.0,999.0,999.0,999.0,999.0,999.0,24.639071213423133,999.0,23.09407121342313,23.059046,23.025893521334655,0.0,999.0,22.947046,22.273453612195702,21.95403729408968,22.364283005168453,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253332,0.0,0.221684,0.0705367,0.0553025,0.0,0.0,0.0943182,0.0478083,0.0277895,0.0552626,0.0,0.0,1.22,1.05,1.331,-21.83,14,5,5,107,7.305445826256393
53.0751,-27.8791,97.0476,505.2,408.6,8.33,0.004659,7,2,1.0,1.0,13,aless34,spw2123,26774,53.0750379,-27.8804291,27.00899309378388,999.0,999.0,999.0,25.55607121342313,25.415071213423133,999.0,999.0,999.0,24.058046,23.639893521334656,0.0,999.0,23.086046,22.919453612195703,22.58603729408968,22.830283005168454,999.0,999.0,0.0986245,0.0,0.0,0.0,0.136954,0.241501,0.0,0.0,0.0,0.169027,0.095544,0.0,0.0,0.106587,0.0851829,0.0492452,0.0837663,0.0,0.0,0.645,0.527,0.971,-19.84,14,7,5,107,4.788838960875683
