RA,DEC,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window
53.07346,-27.87434,97.0945,552.8,564.4,7.06,0.006192,17,12,0.988,0.999,104,aless34,spw2123
53.07513,-27.87626,97.0164,504.4,501.7,6.97,0.003877,7,13,0.98,1,105,aless34,spw2123
53.07418,-27.875,97.0476,532,542.9,6.87,0.006421,19,14,0.965,0.997,106,aless34,spw2123
53.06956,-27.87747,96.9851,665.4,461.9,6.7,0.006074,17,15,0.919,0.995,107,aless34,spw2123
53.06772,-27.87978,97.0945,718.8,386.3,6.64,0.004184,9,16,0.896,0.988,108,aless34,spw2123
53.07516,-27.87752,97.0476,503.5,460.4,6.52,0.002184,3,17,0.833,1,109,aless34,spw2123
53.07525,-27.87603,97.1258,500.9,509.1,6.5,0.006056,19,18,0.821,0.973,110,aless34,spw2123
53.07361,-27.87652,97.1101,548.3,492.9,6.09,0.004245,11,19,0.473,0.886,111,aless34,spw2123
53.07483,-27.8761,98.2821,513.1,506.8,5.95,0.005593,17,20,0.343,0.938,112,aless34,spw2123
53.08003,-27.86758,98.2665,362.7,785.6,5.94,0.005524,17,21,0.334,0.936,113,aless34,spw2123
53.07668,-27.87512,97.1414,459.6,539,5.77,0.005057,17,22,0.201,0.901,114,aless34,spw2123
53.08169,-27.8673,98.2821,314.6,794.7,5.74,0.0057,19,23,0.181,0.623,115,aless34,spw2123
53.07513,-27.87557,98.3134,504.5,524.2,5.66,0.004652,13,26,0.135,0.923,116,aless34,spw2123
53.07379,-27.88654,97.0945,543.2,165.3,5.62,0.001848,3,27,0.115,0.671,117,aless34,spw2123
53.07565,-27.87449,97.407,489.2,559.6,5.43,0.004758,17,35,0.049,0.793,118,aless34,spw2123
53.08585,-27.8727,97.829,194.2,618.1,5.43,0.004758,15,36,0.049,0.724,119,aless34,spw2123
53.07568,-27.87491,98.2509,488.6,545.9,5.41,0.004706,15,37,0.044,0.714,120,aless34,spw2123
53.08212,-27.88608,97.3914,302.3,180.2,5.38,0.004722,17,39,0.038,0.773,121,aless34,spw2123
53.08086,-27.86808,97.7665,338.5,769.4,5.29,0.004405,13,45,0.023,0.776,122,aless34,spw2123
53.07562,-27.87665,97.4696,490.1,488.8,5.28,0.004112,13,46,0.022,0.771,123,aless34,spw2123
53.07181,-27.88718,97.4852,600.6,144.2,5.27,0.004722,17,47,0.021,0.725,124,aless34,spw2123
53.07501,-27.87473,98.1884,507.9,551.5,5.23,0.004164,13,52,0.016,0.743,125,aless34,spw2123
53.07485,-27.87528,97.4539,512.6,533.6,5.22,0.004019,13,54,0.015,0.737,126,aless34,spw2123
53.07526,-27.87616,97.4852,500.7,504.8,5.21,0.004407,15,57,0.014,0.603,127,aless34,spw2123
53.07437,-27.87634,97.4383,526.3,499,5.17,0.003936,13,61,0.011,0.707,128,aless34,spw2123
53.07699,-27.86999,97.7508,450.6,706.9,5.16,0.004342,13,63,0.011,0.701,129,aless34,spw2123
53.07479,-27.87578,96.6882,514.3,517.2,5.09,0.004785,17,72,0.007,0.637,130,aless34,spw2123
