RA,DEC,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window
52.92868,-27.74426,96.9695,775.8,403.7,5.88,0.004281,11,5,0.609,0.981,85,aless51,spw2123
53.25915,-27.67653,99.5167,515.7,512.3,6.8,0.00449,9,0,1,0.982,86,aless55,spw2123
53.2576,-27.67774,99.4854,560.7,472.8,6.17,0.003772,7,1,0.961,0.892,87,aless55,spw2123
53.25884,-27.68659,87.1253,524.7,183.2,6.55,0.005638,17,0,0.994,0.998,88,aless55,spw1719
53.19127,-28.00645,85.3126,509,514.2,7.85,0.005567,9,0,1,1,89,aless61,spw1719
53.18617,-28.01359,86.2502,656.3,280.7,6.04,0.004613,11,1,0.685,0.956,90,aless61,spw1719
53.15219,-27.58151,97.579,519.3,516.4,20.6,0.015951,11,0,1,1,91,aless62,spw2123
53.15333,-27.58121,97.579,486.3,526.5,20.28,0.017226,13,1,1,1,92,aless62,spw2123
53.15272,-27.58187,97.5946,504,504.8,20.27,0.017243,13,2,1,1,93,aless62,spw2123
53.15394,-27.58139,97.579,468.6,520.4,19.84,0.013589,9,3,1,1,94,aless62,spw2123
53.14996,-27.58223,97.6102,584,493,19.58,0.016576,13,4,1,1,95,aless62,spw2123
53.15273,-27.58028,97.5946,503.7,556.9,19.55,0.017888,15,5,1,1,96,aless62,spw2123
53.15403,-27.58324,97.5633,466.1,459.8,19.34,0.013149,9,6,1,1,97,aless62,spw2123
53.15466,-27.58054,97.579,447.6,548.4,19.23,0.017547,15,7,1,1,98,aless62,spw2123
53.14945,-27.58495,97.5633,598.9,404.1,18.62,0.010896,7,8,1,1,99,aless62,spw2123
53.15209,-27.58058,97.6258,522.4,546.9,18.59,0.018101,17,9,1,1,100,aless62,spw2123
53.15133,-27.58266,97.5477,544.3,479,18.36,0.012388,9,10,1,1,101,aless62,spw2123
53.15438,-27.57977,97.579,455.7,573.5,18.24,0.010679,7,11,1,1,102,aless62,spw2123
53.15217,-27.58221,97.6102,519.8,493.7,17.9,0.018411,19,12,1,1,103,aless62,spw2123
53.15263,-27.58377,97.6258,506.5,442.8,17.76,0.013703,11,13,1,1,104,aless62,spw2123
53.15834,-27.58174,97.5946,341,509.2,17.61,0.018112,19,14,1,1,105,aless62,spw2123
53.15287,-27.58473,97.5633,499.7,411.2,16.75,0.008012,5,15,1,1,106,aless62,spw2123
53.15102,-27.57982,97.5477,553.1,571.8,16.48,0.016768,19,16,1,1,107,aless62,spw2123
53.15137,-27.58026,97.6571,543.1,557.6,16.41,0.015858,17,17,1,1,108,aless62,spw2123
53.14775,-27.58121,97.5321,648,526.5,16.4,0.011,9,18,1,1,109,aless62,spw2123
53.14897,-27.58108,97.5321,612.8,530.8,16.18,0.01643,19,19,1,1,110,aless62,spw2123
53.15151,-27.58179,97.579,538.9,507.6,16.06,0.007687,5,20,1,1,111,aless62,spw2123
