# Z-profile-Region_1-Statistic_FluxDensity-Coordinate_Current aless41_dirtycube_allspw_nopbcorr.fits
# xLabel: [BARYCENT] Radio velocity (km/s)
# yLabel: Value (Jy)
# ellipse[[185.572703pix, 188.392261pix], [6.699414pix, 8.342666pix], 0.000000deg]	
# ellipse(wcs:ICRS)[[3:31:10.0799285717, -27:52:36.6519323977], [1.6748534560", 2.0856665678"], 0.000000deg]	
X	Y
-41093.403928363536	1.3440323061e-3
-41038.81067651351	1.0253225235e-3
-40984.217424663424	1.0237025873e-3
-40929.624172813405	1.1590591847e-3
-40875.03092096332	9.1697059577e-4
-40820.43766911329	6.0326444226e-4
-40765.84441726321	7.1798777597e-4
-40711.25116541319	1.0344684168e-3
-40656.6579135631	1.2592594180e-3
-40602.06466171301	1.4172196703e-3
-40547.47140986299	1.4389510434e-3
-40492.87815801291	1.3613879707e-3
-40438.284906162815	1.2976882492e-3
-40383.69165431279	9.5985653468e-4
-40329.0984024627	3.8295258281e-4
-40274.505150612684	9.3130216101e-5
-40219.91189876253	6.3996467282e-5
-40165.31864691257	5.0507703700e-6
-40110.725395062494	8.5306024183e-5
-40056.13214321247	2.5846266487e-4
-40001.538891362376	1.0237946601e-4
-39946.94563951229	-4.4059863748e-5
-39892.35238766227	1.1601053345e-4
-39837.75913581225	2.0719545782e-4
-39783.16588396216	7.8614190571e-5
-39728.572632112075	-1.9707494332e-4
-39673.97938026199	-1.7493457756e-4
-39619.38612841196	1.2103305019e-4
-39564.79287656195	2.4989496580e-4
-39510.19962471179	2.9580160401e-4
-39455.606372861774	2.3801706814e-4
-39401.01312101168	-4.3829825176e-5
-39346.41986916166	-1.2259550583e-4
-39291.82661731158	5.8320826654e-5
-39237.233365461485	6.2868654972e-5
-39182.640113611465	-2.3268281467e-5
-39128.04686176138	-1.2501585088e-4
-39073.453609911354	-1.9492425451e-5
-39018.86035806127	1.7464212411e-4
-38964.26710621118	4.4505354214e-5
-38909.67385436123	-1.9288133516e-4
-38855.08060251107	-1.7006598227e-4
-38800.48735066105	6.6639746518e-5
-38745.89409881096	2.0108922248e-4
-38691.30084696094	1.2137160178e-4
-38636.707595110856	5.2749699260e-5
-38582.114343260764	2.9133318617e-4
-38527.52109141075	5.4213535398e-4
-38472.927839560725	4.0988224266e-4
-38418.334587710575	1.2502884001e-4
