RA_1,DEC_1,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window,RA_2,DEC_2,VIMOS_U,MUSYC_U,MUSYC_U38,MUSYC_B,MUSYC_V,MUSYC_R,MUSYC_I,MUSYC_Z,MUSYC_J,HAWK_J,TENIS_J,MUSYC_H,MUSYC_K,HAWK_K,TENIS_K,SIMPLE_CH1,SIMPLE_CH2,SIMPLE_CH3,SIMPLE_CH4,VIMOS_UE,MUSYC_UE,MUSYC_U38E,MUSYC_BE,MUSYC_VE,MUSYC_RE,MUSYC_IE,MUSYC_ZE,MUSYC_JE,HAWK_JE,TENIS_JE,MUSYC_HE,MUSYC_KE,HAWK_KE,TENIS_KE,SIMPLE_CH1E,SIMPLE_CH2E,SIMPLE_CH3E,SIMPLE_CH4E,zphot,zlo,zhi,Mh,wb_obs,wb_det,Separation
53.27353,-27.55791,97.9448,194.1,169.7,13.61,0.019295,11,0,1,1,180,aless71,allspw,53.2736113,-27.5579273,0,999,999,25.430071213423133,25.296071213423133,24.32707121342313,23.12007121342313,22.892071213423133,21.907071213423134,0,0,0,20.709071213423133,0,0,18.72503729408968,18.051283005168454,17.46546968190389,17.391779609254236,0,0,0,0.102211,0.109202,0.095011,0.0682375,0.0838691,0.0794403,0,0,0,0.0587912,0,0,0.00143735,0.00106688,0.00295566,0.00137866,2.505,2.339,2.646,-27.8,13,11,0.2668432860870952
52.86326,-27.93091,97.3475,178.9,197.6,27.3,0.016376,13,0,1,1,184,aless75,allspw,52.8632821,-27.9309248,0,24.810071213423132,24.573071213423134,23.608071213423134,23.340071213423133,23.114071213423134,23.073071213423134,23.178071213423134,22.127071213423132,22.671046,22.340893521334657,0,21.907071213423134,21.973046,21.913453612195703,20.66903729408968,20.034283005168454,19.20046968190389,18.27777960925424,0,0.0714176,0.13108,0.0198303,0.018797,0.0320108,0.0654319,0.107925,0.0965119,0.0498192,0.0297772,0,0.168352,0.0394531,0.0345284,0.00858483,0.0066101,0.0145323,0.00311537,2.385,2.325,2.463,-25.96,13,13,0.088202976
52.85311,-27.92791,98.6757,308,240.7,7.72,0.00146,3,3,1,1,187,aless75,allspw,52.8531274,-27.9279407,0,999,999,999,999,25.521071213423134,999,999,0,999,24.694893521334656,0,0,23.022046,23.228453612195704,22.73903729408968,22.284283005168454,22.21846968190389,21.530779609254235,0,0,0,0,0,0.263483,0,0,0,0,0.236237,0,0,0.10076,0.111826,0.0565066,0.0514285,0.213343,0.0606929,3.585,3.203,4.182,-24.44,13,7,0.12360305739415732
53.21193,-27.52823,104.3276,192.3,198.9,12.16,0.009057,17,0,1,1,189,aless87,allspw,53.2119725,-27.5282452,25.359993093783878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.88403729408968,20.656283005168454,20.430469681903887,20.099779609254234,0.0223757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104558,0.0116947,0.0444954,0.0165811,3.2,2.729,3.281,-25.68,5,5,0.1462967876998993
53.21853,-27.5303,104.3276,108,169.1,8.25,0.004878,11,3,1,1,192,aless87,allspw,53.2185205,-27.5303368,27.196993093783878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.227037294089683,20.955283005168454,20.655469681903888,20.929779609254236,0.116303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143148,0.0153763,0.0544881,0.0353063,2.035,1.639,2.245,-24.04,5,5,0.13590696152335535
52.97842,-27.89482,104.4607,506,514.1,10.89,0.010594,19,0,1,1,196,aless88,spw2123,52.9784357,-27.894839,25.76499309378388,999,999,25.11707121342313,24.810071213423132,24.634071213423134,23.942071213423134,23.956071213423133,22.842071213423132,23.018046,22.996893521334655,22.691071213423132,21.741071213423133,21.713046,21.622453612195706,20.74003729408968,20.457283005168453,20.13446968190389,20.290779609254233,0.0323426,0,0,0.0775013,0.0710502,0.12434,0.14064,0.210523,0.179335,0.0680029,0.0538805,0.175046,0.146014,0.0311707,0.0265087,0.00916254,0.00974496,0.0340423,0.0197414,2.195,2.134,2.301,-24.86,15,13,0.084698549
52.97895,-27.89348,104.0857,490.7,558.1,6.49,0.00474,11,3,0.941,0.997,199,aless88,spw2123,52.9789243,-27.8935489,25.82299309378388,25.657071213423134,999,24.680071213423133,24.200071213423133,24.03307121342313,23.682071213423132,23.668071213423133,999,23.515046,23.329893521334657,999,22.28607121342313,22.263046,21.952453612195704,21.293037294089682,21.157283005168452,20.91246968190389,21.043779609254234,0.0340897,0.150171,0,0.0524293,0.0410782,0.0732133,0.112179,0.164994,0,0.10561,0.0725863,0,0.23162,0.0512513,0.0357706,0.0152057,0.0184938,0.0685891,0.0391454,2.61,2.426,2.851,-24.44,15,13,0.2611710570574377
52.97189,-27.90284,102.5542,694.8,251.8,6.05,0.003313,7,4,0.788,0.943,200,aless88,spw2123,52.971815,-27.9029058,27.06599309378388,999,999,999,26.05607121342313,25.35907121342313,23.833071213423132,23.485071213423133,22.355071213423134,0,22.220893521334656,21.73107121342313,21.011071213423133,21.083046,20.881453612195706,20.188037294089682,20.137283005168452,20.36846968190389,20.399779609254235,0.103694,0,0,0,0.209718,0.230561,0.127967,0.140988,0.117879,0,0.0266994,0.0757519,0.0769901,0.0175582,0.0134773,0.00552008,0.00726568,0.042073,0.0218054,1.09,0.994,1.255,-23.38,15,12,0.33622470191559656
52.87357,-27.95435,97.0945,544.4,577.5,24.34,0.023947,17,4,1,1,207,aless98,spw2123,52.8737147,-27.9541396,0,25.860071213423133,999,25.380071213423133,25.329071213423134,24.980071213423134,24.314071213423134,23.791071213423134,999,24.255046,23.616893521334656,0,22.303071213423134,23.473046,23.152453612195703,23.252037294089682,999,999,999,0,0.178629,0,0.0978121,0.112403,0.167561,0.19325,0.183201,0,0.199729,0.0936252,0,0.234907,0.149214,0.104619,0.0892637,0,0,0,0.67,0.458,1.206,-19.45,13,9,0.8862529931551288
52.87311,-27.9582,97.0476,557.5,451.3,20.2,0.011968,7,18,1,1,221,aless98,spw2123,52.873297,-27.9584377,0,24.40207121342313,24.200071213423133,24.03307121342313,23.839071213423132,23.666071213423134,22.973071213423133,23.026071213423133,22.496071213423132,22.633046,22.607893521334656,0,22.163071213423134,0,22.182453612195705,22.09603729408968,22.399283005168453,999,22.073779609254235,0,0.0495473,0.0945722,0.0292044,0.0296153,0.0527144,0.0598302,0.0944198,0.133261,0.0481432,0.0379353,0,0.209047,0,0.0440415,0.0316163,0.0570263,0,0.0983371,1.08,0.781,1.196,-21.5,13,12,1.0420372589830986
52.87464,-27.9565,97.2664,513.3,507.1,13.22,0.011882,17,45,1,1,248,aless98,spw2123,52.8745848,-27.9563438,0,999,999,999,999,999,24.304071213423132,999,23.281071213423132,0,22.662893521334656,0,21.235071213423133,0,21.120453612195703,19.82003729408968,19.44528300516845,19.396469681903888,19.514779609254234,0,0,0,0,0,0,0.191625,0,0.258733,0,0.0398707,0,0.0938882,0,0.0167703,0.00393607,0.00384734,0.0173846,0.00970489,1.665,1.526,1.783,-24.97,13,7,0.5890794953214918
