# Z-profile-Region_1-Statistic_Mean-Coordinate_Current aless34_dirtycube_spw1719_natweight_nopbcorr.fits
# xLabel: [LSRK] Radio velocity (km/s)
# yLabel: Value (Jy/beam)
# ellipse[[513.223570pix, 511.651390pix], [5.406720pix, 7.350163pix], 337.643322deg]	
# ellipse(wcs:ICRS)[[3:32:17.9498492718, -27:52:33.3183471755], [0.5947392242", 0.8085178997"], 337.643322deg]	
# x	y	fittingModel	fittingResidual
-908.8884948862141	-3.8043970335e-5	6.141475e-20	-3.804397e-5
-963.9685723745371	-2.1468978187e-5	2.531862e-21	-2.146898e-5
-1019.0486498627936	-7.3789282963e-5	9.132533e-23	-7.378928e-5
-1074.1287273509834	-7.0503344011e-5	2.882215e-24	-7.050334e-5
-1129.2088048392397	2.4043536112e-5	7.958761e-26	2.404354e-5
-1184.288882327563	3.7088473841e-6	1.922864e-27	3.708847e-6
-1239.368959815886	-6.7858786093e-5	4.064765e-29	-6.785879e-5
-1294.4490373040092	-1.2389375080e-4	7.518068e-31	-1.238938e-4
-1349.5291147923324	-5.4345956727e-5	1.216637e-32	-5.434596e-5
-1404.6091922805888	1.0317619901e-4	1.722661e-34	1.031762e-4
-1459.6892697688452	1.6686838699e-4	2.134137e-36	1.668684e-4
-1514.769347257035	1.7139277749e-4	2.313284e-38	1.713928e-4
-1569.8494247453582	1.2132149315e-4	2.193913e-40	1.213215e-4
-1624.9295022336146	4.2611952568e-5	1.820513e-42	4.261195e-5
-1680.0095797218044	-6.4570527930e-5	1.321759e-44	-6.457053e-5
-1735.0896572101271	-1.1100749347e-4	8.396424e-47	-1.110075e-4
-1790.1697346983838	-4.9054293955e-5	4.666815e-49	-4.905429e-5
-1845.2498121866402	-6.1791766088e-5	2.269502e-51	-6.179177e-5
-1900.3298896748965	-4.0490585534e-5	9.656609e-54	-4.049059e-5
-1955.4099671631532	1.0561379875e-4	3.595031e-56	1.056138e-4
-2010.4900446514096	1.4186499624e-4	1.171020e-58	1.418650e-4
-2065.570122139666	3.8220539100e-5	3.337415e-61	3.822054e-5
-2120.6501996278557	1.2575622512e-5	8.322235e-64	1.257562e-5
-2175.730277116179	1.2571595830e-4	1.815740e-66	1.257160e-4
-2230.810354604436	1.3865505579e-4	3.466181e-69	1.386551e-4
-2285.8904320926254	8.0846756758e-5	5.789388e-72	8.084676e-5
-2340.9705095808818	1.2225867440e-4	8.460540e-75	1.222587e-4
-2396.050587069138	4.8850173972e-5	1.081801e-77	4.885017e-5
-2451.1306645573945	-4.4938289706e-5	1.210266e-80	-4.493829e-5
-2506.2107420456514	-7.5716419336e-6	1.184671e-83	-7.571642e-6
-2561.2908195339073	-6.9381658093e-5	1.014610e-86	-6.938166e-5
-2616.370897022164	-1.2137130671e-4	7.602983e-90	-1.213713e-4
-2671.4509745104206	-3.2194330168e-5	4.984860e-93	-3.219433e-5
-2726.531051998677	4.8112542687e-5	2.859604e-96	4.811254e-5
-2781.6111294869334	9.2940894066e-5	1.435300e-99	9.294089e-5
-2836.69120697519	1.1700188842e-4	6.303234e-103	1.170019e-4
